symbol,company_name,sector,industry,Symbol
WELENT.NS,Welspun Enterprises Limited,Industrials,Engineering & Construction,WELENT
WELINV.NS,Welspun Investments and Commercials Limited,Financial Services,Capital Markets,WELINV
WELSPUNLIV.NS,Welspun Living Limited,Consumer Cyclical,Textile Manufacturing,WELSPUNLIV
WENDT.NS,Wendt (India) Limited,Industrials,Tools & Accessories,WENDT
WESTLIFE.NS,Westlife Foodworld Limited,Consumer Cyclical,Restaurants,WESTLIFE
WEWIN.NS,We Win Limited,Technology,Information Technology Services,WEWIN
WEWORK.NS,WEWORK INDIA MANAGEMENT L,Real Estate,Real Estate Services,WEWORK
WHEELS.NS,Wheels India Limited,Consumer Cyclical,Auto Parts,WHEELS
WHIRLPOOL.NS,Whirlpool of India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",WHIRLPOOL
WILLAMAGOR.NS,Williamson Magor & Co. Limited,Financial Services,Credit Services,WILLAMAGOR
WINDLAS.NS,Windlas Biotech Limited,Healthcare,Drug Manufacturers - Specialty & Generic,WINDLAS
WINDMACHIN.NS,Windsor Machines Limited,Industrials,Specialty Industrial Machinery,WINDMACHIN
WINSOME.NS,Winsome Yarns Limited,Consumer Cyclical,Textile Manufacturing,WINSOME
WIPL.NS,The Western India Plywoods Limited,Basic Materials,Lumber & Wood Production,WIPL
WIPRO.NS,Wipro Limited,Technology,Information Technology Services,WIPRO
WOCKPHARMA.NS,Wockhardt Limited,Healthcare,Drug Manufacturers - Specialty & Generic,WOCKPHARMA
WONDERLA.NS,Wonderla Holidays Limited,Consumer Cyclical,Leisure,WONDERLA
WORTHPERI.NS,Worth Peripherals Limited,Consumer Cyclical,Packaging & Containers,WORTHPERI
WSI.NS,W.S. Industries (India) Limited,Industrials,Engineering & Construction,WSI
WSTCSTPAPR.NS,West Coast Paper Mills Limited,Basic Materials,Paper & Paper Products,WSTCSTPAPR
XCHANGING.NS,Xchanging Solutions Limited,Technology,Information Technology Services,XCHANGING
XELPMOC.NS,Xelpmoc Design and Tech Limited,Technology,Information Technology Services,XELPMOC
XPROINDIA.NS,Xpro India Limited,Basic Materials,Specialty Chemicals,XPROINDIA
XTGLOBAL.NS,XTGlobal Infotech Limited,Technology,Software - Application,XTGLOBAL
YASHO.NS,Yasho Industries Limited,Basic Materials,Specialty Chemicals,YASHO
YATHARTH.NS,Yatharth Hospital & Trauma Care Services Limited,Healthcare,Medical Care Facilities,YATHARTH
YATRA.NS,Yatra Online Limited,Consumer Cyclical,Travel Services,YATRA
YESBANK.NS,Yes Bank Limited,Financial Services,Banks - Regional,YESBANK
YUKEN.NS,Yuken India Limited,Industrials,Specialty Industrial Machinery,YUKEN
ZAGGLE.NS,Zaggle Prepaid Ocean Services Limited,Technology,Software - Infrastructure,ZAGGLE
ZEEL.NS,Zee Entertainment Enterprises Limited,Communication Services,Broadcasting,ZEEL
ZEELEARN.NS,Zee Learn Limited,Consumer Defensive,Education & Training Services,ZEELEARN
ZEEMEDIA.NS,Zee Media Corporation Limited,Communication Services,Broadcasting,ZEEMEDIA
ZENITHEXPO.NS,Zenith Exports Limited,Consumer Cyclical,Textile Manufacturing,ZENITHEXPO
ZENITHSTL.NS,Zenith Steel Pipes & Industries Limited,Basic Materials,Steel,ZENITHSTL
ZENSARTECH.NS,Zensar Technologies Limited,Technology,Information Technology Services,ZENSARTECH
ZENTEC.NS,Zen Technologies Limited,Industrials,Aerospace & Defense,ZENTEC
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited,Consumer Cyclical,Auto Parts,ZFCVINDIA
ZIMLAB.NS,ZIM Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,ZIMLAB
ZODIAC.NS,Zodiac Energy Limited,,,ZODIAC
ZODIACLOTH.NS,Zodiac Clothing Company Limited,Consumer Cyclical,Apparel Manufacturing,ZODIACLOTH
ZOTA.NS,Zota Health Care Limited,Healthcare,Biotechnology,ZOTA
ZUARI.NS,Zuari Agro Chemicals Limited,Basic Materials,Agricultural Inputs,ZUARI
ZUARIIND.NS,Zuari Industries Limited,Industrials,Conglomerates,ZUARIIND
ZYDUSLIFE.NS,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,ZYDUSLIFE
ZYDUSWELL.NS,Zydus Wellness Limited,Consumer Defensive,Packaged Foods,ZYDUSWELL
