ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,MULTI_FACTOR_SCORE,FACTOR_RANK,FUTURE_ALPHA,ML_PREDICTED_ALPHA,ML_RANK,RL_SCORE,FINAL_RL_SCORE,WEIGHT,RL_RANK,AvgVolume,TARGET_CAPITAL,SLIPPAGE_COST,BROKERAGE_COST,IMPACT_COST,LIQUIDITY_RATIO,LIQUIDITY_FLAG,TOTAL_COST,NET_CAPITAL,EXECUTION_SCORE
12,BALAMINES,Basic Materials,Specialty Chemicals,66204966912,2.3836,90.97,157.37,74.23,102.13,-58.26,114.38,9.84,5,8.0,0.0,98.85,97.47,98.73,39.366666666666674,98.85,42.28,74.83,95.62,16.24,87.21,22,106.066,106.6053,15,9097.0,4601.8026,0.046319958237857936,11,500000,463199.58,694.8,231.6,1.71,0.93,OK,928.11,462271.48,99.8
13,FCL,Basic Materials,Specialty Chemicals,47430119424,2.3138,89.732,155.77,84.35,93.32,-81.71,140.79,9.84,5,0.0,91.48211243611584,98.73,97.35,98.62,31.986666666666665,97.93,41.71,74.83,20.45,94.24,79.54,99,102.1647,104.9244,16,8973.2,4539.0622,0.04568843723514293,12,500000,456884.37,685.33,228.44,1.68,0.91,OK,915.45,455968.92,99.8
8,E2E,Technology,Software - Infrastructure,93021306880,2.5192,88.128,170.32,60.93,106.26,-44.57,97.66,14.95,2,5.0,0.0,98.62,98.39,99.19,40.873333333333335,99.19,43.2,94.87,82.32,16.24,86.53,33,108.0368,108.1794,12,8812.8,4460.4897,0.044897556965941436,13,500000,448975.57,673.46,224.49,1.65,0.9,OK,899.6,448075.97,99.8
16,APOLLO,Industrials,Aerospace & Defense,150550642688,2.1097,86.072,166.1,53.03,108.1,-49.21,81.48,8.06,7,8.0,0.0,98.5,97.81,98.27,37.306666666666665,98.62,44.24,54.38,95.62,16.24,86.23,35,106.1422,106.702,14,8607.2,4356.951,0.04385537662385264,14,500000,438553.77,657.83,219.28,1.61,0.88,OK,878.72,437675.05,99.8
14,BLUSPRING,Industrials,Specialty Business Services,13950314496,2.198,81.81,178.94,52.2,101.55,-33.17,91.98,8.06,7,5.0,48.040885860306645,98.39,98.62,98.5,40.193333333333335,99.08,43.43,54.38,82.32,64.86,86.79,28,108.0845,107.3654,13,8181.0,4144.1827,0.04171373355049313,15,500000,417137.34,625.71,208.57,1.52,0.83,OK,835.8,416301.54,99.8
17,BHAGYANGR,Basic Materials,Copper,9811266560,2.0279,81.588,151.42,51.93,101.36,-46.53,77.58,9.84,5,4.0,41.56729131175469,98.27,97.24,98.16,35.586666666666666,98.27,44.7,74.83,72.12,60.48,85.8,40,100.7308,99.112,20,8158.799999999999,4128.956,0.041560467502002235,16,500000,415604.68,623.41,207.8,1.52,0.83,OK,832.72,414771.95,99.8
21,AEROFLEX,Industrials,Metal Fabrication,55545839616,1.8235,76.834,145.62,43.81,98.85,-38.43,64.54,8.06,7,7.0,84.32708688245314,98.16,96.66,97.7,34.74333333333333,98.16,47.58,54.38,90.5,89.4,89.08,12,98.9289,98.2008,22,7683.400000000001,3890.8004,0.039163285726701226,17,500000,391632.86,587.45,195.82,1.42,0.78,OK,784.69,390848.17,99.8
15,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38651703296,2.1294,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,10.69,4,8.0,81.60136286201022,98.04,99.08,98.39,33.26000000000001,98.04,43.55,85.71,95.62,87.56,91.26,4,111.6785,109.7226,11,7652.000000000001,3880.8613,0.03906324260622493,18,500000,390632.43,585.95,195.32,1.42,0.78,OK,782.68,389849.75,99.8
20,CALSOFT,Technology,Software - Application,1292214016,1.8426,71.922,92.91,77.13,68.45,-72.19,104.7,14.95,2,2.0,0.0,97.93,88.94,97.81,24.463333333333328,95.62,42.4,94.87,53.34,16.24,80.07,96,80.4282,80.4551,47,7192.2,3636.3276,0.036601860850154426,19,500000,366018.61,549.03,183.01,1.32,0.73,OK,733.36,365285.25,99.8
27,INDOTECH,Industrials,Electrical Equipment & Parts,28223713280,1.6058,71.03999999999999,135.66,23.46,102.76,-17.05,30.97,8.06,7,4.0,0.0,97.81,95.97,97.0,36.39,98.39,63.25,54.38,72.12,16.24,84.02,59,92.387,92.5231,28,7103.999999999999,3598.2616,0.03621870327813593,20,500000,362187.03,543.28,181.09,1.3,0.72,OK,725.68,361461.36,99.8
