ALPHA_RANK,Symbol,Sector,Industry,Market_Cap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,ADV_RUPEES,AVG_20D_VOLUME,LIQUIDITY_SCORE,LIQUIDITY_BUCKET,Industry_MASTER,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,FACTOR_MARKET_CAP,MULTI_FACTOR_SCORE,FACTOR_RANK,CONVICTION_SCORE,DIVERSIFICATION_SCORE,DIVERSIFIED_RANK
3,BBOX,Technology,Software - Application,179854704640.0,3.5774,117.44,263.53,110.42,122.12,-106.17,238.28,11.6,2.0,4.0,1197842993.04,1182821.0,86.46666666666667,HIGH,IT Services,99.75,99.49,99.75,42.12333333333334,99.49,37.31,94.29,4.0,86.47,54.82233502538071,79.0,6,80.26,79.504,11
61,ATHERENERG,Consumer Cyclical,Auto Manufacturers,399212052480.0,1.0827,43.690000000000005,129.45,19.09,60.09,-11.05,41.12,5.0,9.0,8.0,4531658208.4,4349000.0,97.06666666666666,HIGH,FMCG – Food,94.16,95.43,93.4,22.710000000000004,95.43,55.33,28.05,8.0,97.07,73.09644670050761,75.31,16,85.16,79.25,12
39,ADANIENT,Energy,Thermal Coal,4021432877056.0,1.3707,49.048,132.04,40.66,54.64,-36.08,98.26,8.66,6.0,8.0,8764912002.3,2990315.0,99.06666666666666,HIGH,Oil Exploration,95.94,95.69,95.69,19.74,93.15,38.83,65.74,8.0,99.07,97.71573604060912,77.99,10,80.96,79.178,13
98,INOXINDIA,Industrials,Specialty Industrial Machinery,171688247296.0,0.7398,27.688,124.34,3.4,43.88,3.12,9.63,7.49,7.0,10.0,873309053.15,461677.0,83.2,HIGH,Capital Goods,82.74,94.42,86.29,16.8,89.85,85.03,53.3,10.0,83.2,53.299492385786806,72.32,30,86.83,78.124,14
69,GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,374095577088.0,1.034,37.388,109.96,31.7,41.18,-29.9,84.65,9.76,4.0,7.0,2044605549.21,901581.0,91.26666666666668,HIGH,Pharma – Formulations,90.86,90.61,91.62,14.326666666666666,85.53,40.1,87.18,7.0,91.27,72.33502538071066,73.72,23,84.56,78.05600000000001,15
1,HFCL,Technology,Communication Equipment,258782887936.0,4.3674,147.74,340.57,94.61,183.16,-89.75,175.92,11.6,2.0,5.0,9356105908.14,55325562.0,99.33333333333331,HIGH,IT Services,100.0,100.0,100.0,62.673333333333325,100.0,37.56,94.29,5.0,99.33,64.46700507614213,80.53,4,73.05,77.538,16
64,HONASA,Consumer Defensive,Household & Personal Products,134945439744.0,1.0659,38.636,135.27,25.19,47.6,-22.01,71.58,6.53,8.0,8.0,2061034715.8,4971140.0,91.4,HIGH,FMCG – Food,91.62,95.94,92.64,16.926666666666666,90.1,42.13,38.83,8.0,91.4,45.68527918781726,71.99,31,85.67,77.46199999999999,17
87,AZAD,Industrials,Specialty Industrial Machinery,139464278016.0,0.8179,33.258,95.87,18.09,43.37,-7.77,39.99,7.49,7.0,8.0,902363271.25,417858.0,83.53333333333333,HIGH,Capital Goods,88.83,87.56,88.58,17.896666666666665,91.12,56.09,53.3,8.0,83.53,46.7005076142132,71.2,36,84.86,76.664,18
85,CGPOWER,Industrials,Electrical Equipment & Parts,1430219522048.0,0.8193,32.544000000000004,108.38,18.69,41.78,-15.67,48.48,7.49,7.0,8.0,3565090805.67,3925879.0,95.33333333333334,HIGH,Capital Goods,88.07,90.36,89.09,14.933333333333332,87.06,50.25,53.3,8.0,95.33,91.37055837563452,73.19,24,81.75,76.614,19
62,ARVIND,Consumer Cyclical,Textile Manufacturing,129327357952.0,1.0713,43.332,118.39,31.38,51.3,-26.27,72.42,5.0,9.0,7.0,493747051.45,1000703.0,76.6,MEDIUM,FMCG – Food,93.65,93.15,93.15,18.80333333333333,91.62,41.37,28.05,7.0,76.6,44.92385786802031,70.91,41,84.61,76.39,20
93,GOKULAGRO,Consumer Defensive,Packaged Foods,68746354688.0,0.7563,34.0,112.36,3.16,54.56,-0.73,6.51,6.53,8.0,8.0,119045771.92,510992.0,54.93333333333334,MEDIUM,FMCG – Food,89.34,91.37,87.31,18.996666666666663,91.88,89.85,38.83,8.0,54.93,29.949238578680205,70.25,44,81.8,74.87,21
57,ASTRAMICRO,Technology,Communication Equipment,135239671808.0,1.1198,40.042,110.92,31.09,46.01,-29.04,74.95,11.6,2.0,8.0,2251758291.73,1580847.0,92.06666666666666,HIGH,IT Services,92.39,91.12,93.65,16.02,88.58,41.12,94.29,8.0,92.07,46.192893401015226,74.3,19,73.07,73.80799999999999,22
63,ADFFOODS,Consumer Defensive,Packaged Foods,30783778816.0,1.0687,45.738,103.93,26.34,58.67,-18.65,46.66,6.53,8.0,8.0,90679308.65,323624.0,50.33333333333333,LOW,FMCG – Food,94.92,88.58,92.89,22.120000000000005,94.92,51.02,38.83,8.0,50.33,15.736040609137056,69.66,47,79.35,73.536,23
86,GULPOLY,Basic Materials,Chemicals,12738274304.0,0.8189,31.806,84.65,17.22,41.53,-1.63,35.1,9.45,5.0,7.0,148393201.03,724399.0,59.2,MEDIUM,Unknown,87.56,84.77,88.83,19.04,92.13,58.88,75.0,7.0,59.2,5.32994923857868,68.78,50,78.89,72.824,24
66,DEEPAKFERT,Basic Materials,Chemicals,188903538688.0,1.0619,42.248,118.05,17.12,59.0,-15.22,34.25,9.45,5.0,5.0,739841793.28,494911.0,81.06666666666666,HIGH,Unknown,92.77,92.51,92.26,20.3,93.53,60.03,75.0,5.0,81.07,56.598984771573605,74.71,17,69.35,72.56599999999999,25
114,COFORGE,Technology,Information Technology Services,620935380992.0,0.6796,27.67,74.03,21.19,31.99,-19.44,49.04,11.6,2.0,4.0,4776117237.27,3404946.0,97.4,HIGH,IT Services,82.49,78.93,84.01,11.246666666666664,79.7,50.0,94.29,4.0,97.4,78.68020304568529,69.63,48,74.15,71.438,26
73,BAJAJCON,Consumer Defensive,Household & Personal Products,73511985152.0,0.9887,44.144000000000005,106.48,22.67,58.46,-22.03,41.29,6.53,8.0,7.0,432815984.01,769040.0,75.2,MEDIUM,FMCG – Food,94.67,89.85,91.12,19.7,92.89,55.08,38.83,7.0,75.2,31.725888324873097,71.08,39,70.41,70.812,27
89,ANGELONE,Financial Services,Capital Markets,301268303872.0,0.7682,37.064,120.27,5.6,58.04,-6.23,11.6,3.68,11.0,7.0,2637161386.98,7995032.0,93.53333333333332,HIGH,Unknown,90.36,93.4,88.07,19.136666666666667,92.64,82.74,10.28,7.0,93.53,67.00507614213198,72.76,26,67.6,70.696,28
149,ASTERDM,Healthcare,Medical Care Facilities,420220043264.0,0.4906,19.456000000000003,74.49,14.95,22.46,-10.63,49.59,9.76,4.0,10.0,555282617.68,683088.0,78.26666666666667,HIGH,Pharma – Formulations,74.87,79.19,79.19,8.926666666666664,72.08,49.49,87.18,10.0,78.27,75.38071065989847,65.42,73,77.94,70.428,29
135,JBMA,Consumer Cyclical,Auto Parts,157718036480.0,0.5672,29.16,75.92,12.75,40.1,-2.53,24.14,5.0,9.0,4.0,1042628163.67,1563395.0,85.06666666666666,HIGH,FMCG – Food,85.03,79.95,81.98,16.773333333333333,89.59,70.05,28.05,4.0,85.07,50.25380710659898,67.33,59,73.62,69.846,30
54,DEEPINDS,Energy,Oil & Gas E&P,31843198976.0,1.1407,42.642,123.46,15.99,60.41,-3.48,32.68,8.66,6.0,4.0,227322753.01,456884.0,65.66666666666666,MEDIUM,Oil Exploration,93.15,94.16,94.42,24.30666666666666,96.7,61.93,65.74,4.0,65.67,16.49746192893401,72.7,27,65.54,69.836,31
123,EXIDEIND,Consumer Cyclical,Auto Parts,328397520896.0,0.6129,26.516,97.71,17.57,32.48,-13.39,52.86,5.0,9.0,5.0,1495556759.0,3870989.0,88.93333333333334,HIGH,FMCG – Food,81.73,87.82,83.25,12.22,81.73,48.22,28.05,5.0,88.93,69.54314720812182,66.52,64,74.58,69.744,32
126,CGCL,Financial Services,Credit Services,194085699584.0,0.5962,27.418,106.07,13.0,37.03,-9.98,37.24,3.68,11.0,8.0,653195506.86,3238130.0,79.80000000000001,HIGH,Unknown,82.23,89.59,82.99,13.35,84.26,57.87,10.28,8.0,79.8,58.12182741116752,66.25,65,73.17,69.018,33
100,IKS,Healthcare,Health Information Services,281345753088.0,0.7329,29.314,90.92,21.31,34.65,-21.53,55.92,9.76,4.0,4.0,308457525.38,183770.0,70.86666666666666,MEDIUM,Pharma – Formulations,85.28,86.04,86.04,11.476666666666665,80.2,45.94,87.18,4.0,70.87,66.24365482233503,68.76,51,68.8,68.776,34
76,JINDALSAW,Basic Materials,Steel,143566766080.0,0.8908,38.348,104.11,7.7,58.78,-5.51,13.64,9.45,5.0,2.0,553065898.32,2456324.0,78.2,HIGH,Unknown,91.37,88.83,90.36,20.32333333333333,93.91,80.2,75.0,2.0,78.2,47.71573604060914,73.8,21,61.21,68.764,35
153,CHENNPETRO,Energy,Oil & Gas Refining & Marketing,176355770368.0,0.4827,22.39,58.14,15.04,27.29,-2.53,32.04,8.66,6.0,8.0,1207537792.24,1019622.0,86.6,HIGH,Oil Exploration,78.43,69.04,78.68,13.266666666666666,84.01,62.94,65.74,8.0,86.6,54.568527918781726,65.9,69,71.02,67.94800000000001,36
141,ABDL,Consumer Defensive,Beverages - Wineries & Distilleries,159910297600.0,0.5274,25.61,84.37,9.53,36.33,-4.71,22.13,6.53,8.0,5.0,158366934.82,277011.0,60.266666666666666,MEDIUM,FMCG – Food,81.22,84.26,80.71,13.716666666666669,84.52,72.21,38.83,5.0,60.27,51.26903553299492,65.53,71,64.52,65.126,37
202,APOLLOHOSP,Healthcare,Medical Care Facilities,1220515987456.0,0.3349,13.158,64.5,13.08,13.21,-10.73,63.87,9.76,4.0,8.0,4168305937.05,491053.0,96.66666666666669,HIGH,Pharma – Formulations,60.91,73.35,71.83,5.1866666666666665,55.33,43.91,87.18,8.0,96.67,89.08629441624365,58.95,111,74.28,65.082,38
195,INTELLECT,Technology,Software - Application,103807574016.0,0.3494,16.798000000000002,49.06,11.86,20.09,-6.99,28.96,11.6,2.0,7.0,384660284.39,515320.0,73.6,MEDIUM,IT Services,69.04,63.2,73.1,8.32,69.8,66.24,94.29,7.0,73.6,37.309644670050766,59.88,105,71.9,64.688,39
274,ABSLAMC,Financial Services,Asset Management,321071054848.0,0.1556,17.636,59.09,7.28,24.54,-7.94,17.53,3.68,11.0,8.0,342224564.18,308227.0,71.86666666666667,MEDIUM,Unknown,71.07,69.54,62.18,7.96,69.04,76.14,10.28,8.0,71.87,68.2741116751269,56.39,130,75.03,63.846,40
94,BSE,Financial Services,Financial Data & Stock Exchanges,1595884306432.0,0.7488,35.624,118.28,15.68,48.92,-21.37,37.91,3.68,11.0,2.0,16514139687.57,4202606.0,99.66666666666669,HIGH,Unknown,89.85,92.89,87.06,14.409999999999997,85.79,57.61,10.28,2.0,99.67,92.63959390862944,70.65,42,53.13,63.642,41
189,AEGISLOG,Energy,Oil & Gas Refining & Marketing,281151012864.0,0.3655,18.884,60.65,12.65,23.04,-8.92,33.3,8.66,6.0,7.0,866447226.9,1081707.0,83.13333333333334,HIGH,Oil Exploration,73.48,70.43,74.11,8.923333333333332,71.7,61.04,65.74,7.0,83.13,65.98984771573603,62.07,91,63.05,62.461999999999996,42
173,J&KBANK,Financial Services,Banks - Regional,169923461120.0,0.4053,23.914,69.97,15.88,29.27,-9.96,37.96,3.68,11.0,8.0,620467453.27,4020915.0,79.13333333333334,HIGH,Unknown,79.7,76.65,76.4,11.73,80.71,57.11,10.28,8.0,79.13,53.045685279187815,62.22,89,61.96,62.116,43
119,FILATEX,Consumer Cyclical,Textile Manufacturing,22424946688.0,0.6442,29.472,72.85,24.18,33.0,-9.94,53.38,5.0,9.0,5.0,77668984.85,1538000.0,48.06666666666667,LOW,FMCG – Food,85.53,78.68,83.5,15.746666666666668,87.82,47.46,28.05,5.0,48.07,10.913705583756345,62.44,87,61.34,62.0,44
150,GANESHHOU,Real Estate,Real Estate - Development,63937048576.0,0.4895,25.49,62.14,25.07,25.77,-13.6,60.45,3.87,10.0,5.0,52935691.59,69039.0,42.266666666666666,LOW,Residential,80.96,71.57,78.93,12.413333333333334,81.98,44.92,19.92,5.0,42.27,28.17258883248731,59.0,110,65.71,61.684,45
200,HINDOILEXP,Energy,Oil & Gas E&P,23598815232.0,0.3388,20.188,37.49,18.37,21.4,-8.98,32.18,8.66,6.0,7.0,171992293.07,963812.0,61.46666666666667,MEDIUM,Oil Exploration,76.14,52.28,72.34,10.263333333333332,77.16,62.44,65.74,7.0,61.47,11.928934010152284,57.68,122,63.09,59.844,46
