ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,MULTI_FACTOR_SCORE,FACTOR_RANK,STRATEGY_MOMENTUM,STRATEGY_QUALITY,STRATEGY_FACTOR,STRATEGY_LOW_VOL,STRATEGY_RS,META_SCORE,META_RANK,RAW_WEIGHT,FINAL_WEIGHT,EXPECTED_RETURN_5D,EXPECTED_RETURN_15D,EXPECTED_RETURN_30D,EST_HOLD_DAYS,SIGNAL
5,IDEAFORGE,Technology,Computer Hardware,41002508288,3.0412,110.138,188.3,80.6,129.83,-67.9,116.9,14.95,2,8.0,82.62350936967631,99.54,98.96,99.54,47.51,99.54,42.17,94.87,95.62,88.25,92.36,2,99.53917050691244,98.963133640553,99.88479262672811,42.16589861751152,99.53917050691244,90.9,11,0.039979023742691244,0.04,4.29,9.44,14.42,31,BUY
109,INOXINDIA,Industrials,Specialty Industrial Machinery,143297429504,0.6733,27.688,124.34,3.4,43.88,3.12,9.63,8.06,7,10.0,76.8313458262351,83.29,94.93,87.56,16.8,89.52,85.02,54.38,99.54,84.33,87.77,16,83.29493087557603,94.93087557603687,98.27188940092167,85.02304147465438,89.51612903225806,90.87,12,0.039963823556235616,0.04,4.94,10.87,18.49,35,STRONG BUY
34,ADANIENSOL,Utilities,Utilities - Independent Power Producers,1896825356288,1.4986,49.804,148.2,20.41,69.4,-15.26,43.58,15.17,1,8.0,97.78534923339012,94.93,97.0,96.2,24.849999999999998,95.74,55.41,99.08,95.62,98.5,92.09,3,94.93087557603687,97.00460829493088,99.76958525345621,55.414746543778804,95.73732718894009,90.79,13,0.039928356454505834,0.0399,4.23,9.3,14.0,30,BUY
6,CPPLUS,Industrials,Building Products & Equipment,412700606464,2.9808,97.332,266.91,67.29,117.36,-45.75,153.04,8.06,7,8.0,88.75638841567292,99.19,99.88,99.42,46.300000000000004,99.42,41.59,54.38,95.62,92.4,90.48,7,99.19354838709677,99.88479262672811,99.30875576036865,41.58986175115207,99.42396313364056,90.77,14,0.03991822299686876,0.0399,4.7,10.33,17.56,33,STRONG BUY
15,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38651703296,2.1294,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,10.69,4,8.0,81.60136286201022,98.04,99.08,98.39,33.26000000000001,98.04,43.55,85.71,95.62,87.56,91.26,4,98.04147465437788,99.07834101382488,99.65437788018433,43.54838709677419,98.04147465437788,90.48,15,0.03979155477640525,0.0398,4.83,10.63,18.53,34,STRONG BUY
21,AEROFLEX,Industrials,Metal Fabrication,55545839616,1.8235,76.834,145.62,43.81,98.85,-38.43,64.54,8.06,7,7.0,84.32708688245314,98.16,96.66,97.7,34.74333333333333,98.16,47.58,54.38,90.5,89.4,89.08,12,98.15668202764977,96.6589861751152,98.73271889400922,47.58064516129033,98.15668202764977,90.41,16,0.03976368776790328,0.0398,3.95,8.7,12.89,28,HOLD
9,BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,46372597760,2.4372,95.582,169.2,67.16,114.53,-63.29,99.22,10.69,4,5.0,89.26746166950596,99.08,98.16,99.08,39.46666666666667,98.96,42.63,85.71,82.32,92.74,89.82,9,99.07834101382488,98.15668202764977,99.07834101382488,42.626728110599075,98.963133640553,90.4,17,0.03975862103908474,0.0398,4.24,9.33,15.88,30,BUY
152,ARROWGREEN,Consumer Cyclical,Packaging & Containers,8101468672,0.4985,31.128,87.46,2.07,50.5,-0.08,3.59,6.62,9,7.0,51.27768313458262,86.98,87.9,82.6,17.496666666666666,89.98,93.78,29.21,90.5,67.05,84.12,58,86.9815668202765,87.90322580645162,93.4331797235023,93.77880184331798,89.97695852534562,90.4,18,0.03975608767467547,0.0398,3.86,8.5,12.67,28,HOLD
47,HIRECT,Industrials,Electrical Equipment & Parts,38785638400,1.263,56.362,122.98,26.35,76.37,-24.27,42.43,8.06,7,8.0,73.25383304940375,96.08,94.7,94.7,26.150000000000002,95.97,55.76,54.38,95.62,81.91,88.75,13,96.08294930875576,94.70046082949308,98.61751152073732,55.76036866359447,95.96774193548387,90.37,19,0.03974342085262912,0.0397,4.5,9.91,16.25,32,BUY
11,CEMPRO,Industrials,Engineering & Construction,191165235200,2.3866,94.006,177.0,71.92,108.73,-67.23,117.08,8.06,7,8.0,84.8381601362862,98.96,98.5,98.85,37.806666666666665,98.73,42.05,54.38,95.62,89.75,89.97,8,98.963133640553,98.50230414746544,99.19354838709677,42.05069124423963,98.73271889400922,90.35,20,0.03973328739499204,0.0397,4.69,10.31,17.52,33,STRONG BUY
19,ADANIGREEN,Utilities,Utilities - Renewable,2513096671232,1.8811,62.79,170.25,32.76,82.81,-28.55,67.35,15.17,1,8.0,0.0,97.24,98.27,97.93,29.006666666666664,97.12,46.89,99.08,95.62,16.24,88.22,14,97.23502304147466,98.27188940092167,98.50230414746544,46.88940092165899,97.11981566820278,90.18,21,0.03966235319153249,0.0397,4.71,10.36,17.85,33,STRONG BUY
14,BLUSPRING,Industrials,Specialty Business Services,13950314496,2.198,81.81,178.94,52.2,101.55,-33.17,91.98,8.06,7,5.0,48.040885860306645,98.39,98.62,98.5,40.193333333333335,99.08,43.43,54.38,82.32,64.86,86.79,28,98.38709677419355,98.61751152073732,96.88940092165899,43.4331797235023,99.07834101382488,89.95,22,0.03956101861516167,0.0396,4.24,9.33,16.14,30,BUY
37,GOCLCORP,Basic Materials,Specialty Chemicals,20366856192,1.4511,55.332,138.5,26.85,74.32,-14.17,50.04,9.84,5,5.0,46.50766609880749,95.97,96.08,95.85,28.999999999999996,97.0,51.5,74.83,82.32,63.82,87.0,25,95.96774193548387,96.08294930875576,97.23502304147466,51.49769585253456,97.00460829493088,89.84,23,0.03951288469138554,0.0395,4.22,9.29,15.97,30,BUY
8,E2E,Technology,Software - Infrastructure,93021306880,2.5192,88.128,170.32,60.93,106.26,-44.57,97.66,14.95,2,5.0,0.0,98.62,98.39,99.19,40.873333333333335,99.19,43.2,94.87,82.32,16.24,86.53,33,98.61751152073732,98.38709677419355,96.31336405529954,43.20276497695853,99.19354838709677,89.8,24,0.039492617776111384,0.0395,3.89,8.55,13.63,28,HOLD
24,BLSE,Industrials,Specialty Business Services,20821428224,1.7032,61.548,187.08,33.93,79.96,-29.65,79.39,8.06,7,8.0,46.678023850085175,97.0,98.85,97.35,28.079999999999995,96.66,44.59,54.38,95.62,63.94,87.96,15,97.00460829493088,98.84792626728111,98.38709677419355,44.585253456221196,96.6589861751152,89.79,25,0.039487551047292846,0.0395,4.0,8.79,12.75,29,HOLD
