Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
ATGL,89.83,5.0,10.94,HIGH,100,47
KOPRAN,89.73,5.0,11.04,HIGH,100,48
HIRECT,89.61,5.0,11.23,HIGH,100,49
SKIPPER,89.6,7.0,11.34,HIGH,100,50
HARDWYN,89.48,5.0,11.07,HIGH,100,51
BLSE,89.4,5.0,11.33,HIGH,100,52
FCL,89.27,5.0,13.09,HIGH,100,53
MITCON,89.27,7.0,11.1,HIGH,100,54
ROSSTECH,89.24,5.0,10.78,HIGH,100,55
REFEX,89.16,5.0,11.05,HIGH,100,56
CENTUM,89.16,5.0,10.69,HIGH,100,57
MARKSANS,89.0,5.0,11.14,HIGH,100,58
BALAMINES,88.88,7.0,12.62,HIGH,100,59
NIBE,88.87,5.0,11.64,HIGH,100,60
VIVIANA,88.69,5.0,10.8,HIGH,100,61
OMAXAUTO,88.59,5.0,14.74,HIGH,100,62
ADANIENT,88.43,5.0,10.99,HIGH,100,63
HITECHCORP,88.37,5.0,13.59,HIGH,100,64
IBULLSLTD,88.21,5.0,12.56,HIGH,100,65
ALKALI,88.19,5.0,11.72,HIGH,100,66
UFBL,88.14,5.0,12.63,HIGH,100,67
COFORGE,88.1,7.0,10.56,HIGH,100,68
ORCHPHARMA,88.1,5.0,11.12,HIGH,100,69
GRANULES,88.1,5.0,10.69,HIGH,100,70
GOCLCORP,87.91,7.0,11.16,HIGH,100,71
TATATECH,87.85,7.0,10.7,HIGH,100,72
SFL,87.71,5.0,11.61,HIGH,100,73
SETCO,87.71,7.0,11.61,HIGH,100,74
MWL,87.64,7.0,11.43,HIGH,100,75
SHAILY,87.61,5.0,11.95,HIGH,100,76
LLOYDSME,87.6,5.0,10.79,HIGH,100,77
MAHESHWARI,87.54,7.0,10.66,HIGH,100,78
STEELXIND,87.48,5.0,11.36,HIGH,100,79
HESTERBIO,87.41,5.0,10.96,HIGH,100,80
GULFPETRO,87.26,7.0,10.54,HIGH,100,81
LAURUSLABS,87.08,5.0,10.66,HIGH,100,82
TRITURBINE,87.06,5.0,11.04,HIGH,100,83
SPORTKING,87.04,5.0,11.53,HIGH,100,84
WHEELS,87.02,5.0,11.87,HIGH,100,85
PRECOT,86.91,5.0,11.73,HIGH,100,86
ARROWGREEN,86.86,6.0,10.51,HIGH,100,87
THYROCARE,86.83,5.0,10.82,HIGH,100,88
RUBYMILLS,86.8,7.0,11.11,HIGH,100,89
ELECTHERM,86.75,7.0,11.32,HIGH,100,90
POWERINDIA,86.75,5.0,10.78,HIGH,100,91
WINSOME,86.73,5.0,11.45,HIGH,100,92
S&SPOWER,86.62,5.0,10.64,HIGH,100,93
KIRLOSENG,86.58,5.0,10.54,HIGH,100,94
SIS,86.51,5.0,10.75,HIGH,100,95
PANACEABIO,86.47,7.0,10.64,HIGH,100,96
INDOBORAX,86.46,5.0,11.2,HIGH,100,97
RPEL,86.44,5.0,11.31,HIGH,100,98
SANSTAR,86.35,5.0,11.05,HIGH,100,99
SKYGOLD,86.24,7.0,11.22,HIGH,100,100
PGHL,86.22,5.0,10.49,HIGH,100,101
DEEPAKFERT,85.94,5.0,10.65,HIGH,100,102
VMARCIND,85.87,5.0,13.05,HIGH,100,103
UCL,85.84,5.0,12.72,HIGH,100,104
NETWEB,85.79,7.0,10.45,HIGH,100,105
GLAND,85.77,5.0,10.69,HIGH,100,106
ACCORD,85.7,7.0,12.73,HIGH,100,107
MODINATUR,85.69,5.0,11.57,HIGH,100,108
BOROSCI,85.55,5.0,11.05,HIGH,100,109
MARINE,85.5,5.0,10.59,HIGH,100,110
SANGHVIMOV,85.38,5.0,10.55,HIGH,100,111
UTLSOLAR,85.23,5.0,11.37,HIGH,100,112
NRL,85.19,5.0,10.37,HIGH,100,113
ANLON,85.15,5.0,12.28,HIGH,100,114
SOLARINDS,85.14,5.0,10.67,HIGH,100,115
STALLION,85.1,5.0,10.51,HIGH,100,116
NSLNISP,84.98,7.0,10.63,HIGH,100,117
FSL,84.97,5.0,10.3,HIGH,100,118
ACUTAAS,84.88,5.0,10.72,HIGH,100,119
CUPID,84.85,5.0,11.12,HIGH,100,120
ASHAPURMIN,84.74,5.0,10.56,HIGH,100,121
THEMISMED,84.57,5.0,10.38,HIGH,100,122
ARVIND,84.48,5.0,10.9,HIGH,100,123
SOMANYCERA,84.46,5.0,10.49,HIGH,100,124
NITCO,84.44,6.0,10.22,HIGH,100,125
SUDEEPPHRM,84.37,7.0,10.35,HIGH,100,126
MSPL,84.28,6.0,10.56,HIGH,100,127
GIPCL,84.19,7.0,10.15,HIGH,100,128
GUFICBIO,84.1,5.0,10.2,HIGH,100,129
HOACFOODS,83.98,5.0,11.1,HIGH,100,130
STYLAMIND,83.91,5.0,10.78,HIGH,100,131
MUFIN,83.81,5.0,12.08,HIGH,100,132
JAYAGROGN,83.79,5.0,10.41,HIGH,100,133
GLOTTIS,83.77,5.0,10.31,HIGH,100,134
ONELIFECAP,83.74,5.0,12.52,HIGH,100,135
CHENNPETRO,83.71,7.0,10.06,HIGH,100,136
RAYMOND,83.68,5.0,10.58,HIGH,100,137
COFFEEDAY,83.62,7.0,10.95,HIGH,100,138
GRWRHITECH,83.57,5.0,11.01,HIGH,100,139
GPTHEALTH,83.5,7.0,10.0,HIGH,100,140
TERASOFT,83.46,7.0,10.13,HIGH,100,141
VISHNU,83.26,7.0,10.16,HIGH,100,142
BAJAJCON,83.24,5.0,10.73,HIGH,100,143
SKMEGGPROD,83.15,7.0,10.8,HIGH,100,144
JINDALSAW,82.97,5.0,10.0,HIGH,100,145
AIAENG,82.95,5.0,10.14,HIGH,100,146
MAHASTEEL,82.9,5.0,10.02,HIGH,100,147
VARDHACRLC,82.89,6.0,10.59,HIGH,100,148
DEEM,82.8,7.0,11.21,HIGH,100,149
SANDHAR,82.78,5.0,10.88,HIGH,100,150
